fight_id,radiant_won
49088,1
49089,1
49090,1
49091,0
49092,0
49093,1
49094,1
49095,1
49096,1
49097,0
49098,1
49099,0
49100,0
49101,1
49102,0
49103,1
49104,0
49105,0
49106,0
49107,0
49108,1
49109,1
49110,1
49111,0
49112,0
49113,0
49114,1
49115,0
49116,1
49117,1
49118,0
49119,1
49120,0
49121,0
49122,0
49123,0
49124,0
49125,1
49126,1
49127,0
49128,1
49129,0
49130,0
49131,1
49132,1
49133,0
49134,1
49135,1
49136,1
49137,0
49138,0
49139,0
49140,0
49141,0
49142,0
49143,1
49144,0
49145,1
49146,1
49147,1
49148,0
49149,1
49150,0
49151,0
49152,1
49153,1
49154,0
49155,0
49156,1
49157,0
49158,0
49159,1
49160,1
49161,0
49162,0
49163,0
49164,1
49165,1
49166,1
49167,0
49168,0
49169,1
49170,1
49171,0
49172,1
49173,0
49174,1
49175,1
49176,0
49177,1
49178,1
49179,0
49180,0
49181,0
49182,0
49183,0
49184,1
49185,0
49186,1
49187,1
49188,0
49189,0
49190,1
49191,0
49192,1
49193,1
49194,1
49195,0
49196,1
49197,1
49198,1
49199,1
49200,0
49201,1
49202,0
49203,0
49204,1
49205,1
49206,1
49207,1
49208,0
49209,0
49210,0
49211,0
49212,1
49213,1
49214,1
49215,0
49216,0
49217,1
49218,1
49219,1
49220,0
49221,0
49222,0
49223,1
49224,1
49225,1
49226,1
49227,1
49228,0
49229,0
49230,0
49231,1
49232,1
49233,0
49234,0
49235,0
49236,1
49237,0
49238,0
49239,1
49240,0
49241,0
49242,1
49243,0
49244,1
49245,1
49246,0
49247,0
49248,1
49249,0
49250,0
49251,0
49252,1
49253,0
49254,0
49255,0
49256,1
49257,0
49258,0
49259,0
49260,1
49261,0
49262,1
49263,0
49264,1
49265,1
49266,0
49267,1
49268,0
49269,1
49270,0
49271,1
49272,1
49273,0
49274,0
49275,1
49276,1
49277,1
49278,0
49279,1
49280,1
49281,1
49282,0
49283,0
49284,1
49285,0
49286,1
49287,0
49288,1
49289,0
49290,0
49291,0
49292,1
49293,0
49294,1
49295,0
49296,0
49297,0
49298,0
49299,1
49300,1
49301,0
49302,0
49303,0
49304,0
49305,0
49306,1
49307,1
49308,1
49309,0
49310,1
49311,0
49312,1
49313,1
49314,1
49315,0
49316,1
49317,0
49318,0
49319,0
49320,0
49321,1
49322,1
49323,0
49324,1
49325,0
49326,1
49327,1
49328,1
49329,1
49330,1
49331,1
49332,1
49333,1
49334,0
49335,1
49336,0
49337,0
49338,1
49339,0
49340,1
49341,1
49342,0
49343,1
49344,1
49345,0
49346,0
49347,0
49348,1
49349,1
49350,0
49351,1
49352,1
49353,0
49354,1
49355,0
49356,0
49357,0
49358,1
49359,0
49360,1
49361,0
49362,1
49363,0
49364,1
49365,1
49366,0
49367,0
49368,0
49369,0
49370,0
49371,1
49372,1
49373,0
49374,0
49375,1
49376,1
49377,1
49378,1
49379,0
49380,1
49381,1
49382,1
49383,1
49384,1
49385,1
49386,0
49387,1
49388,1
49389,1
49390,0
49391,1
49392,0
49393,1
49394,1
49395,0
49396,1
49397,1
49398,1
49399,0
49400,0
49401,1
49402,0
49403,1
49404,1
49405,0
49406,1
49407,0
49408,1
49409,0
49410,0
49411,1
49412,1
49413,0
49414,0
49415,0
49416,0
49417,0
49418,1
49419,0
49420,0
49421,0
49422,0
49423,0
49424,1
49425,0
49426,0
49427,1
49428,0
49429,1
49430,0
49431,0
49432,1
49433,0
49434,0
49435,0
49436,0
49437,1
49438,0
49439,1
49440,1
49441,1
49442,1
49443,0
49444,0
49445,1
49446,0
49447,0
49448,1
49449,0
49450,1
49451,1
49452,1
49453,0
49454,0
49455,0
49456,0
49457,0
49458,1
49459,0
49460,1
49461,0
49462,0
49463,0
49464,0
49465,1
49466,1
49467,1
49468,1
49469,1
49470,0
49471,1
49472,1
49473,0
49474,0
49475,0
49476,1
49477,1
49478,1
49479,1
49480,0
49481,1
49482,0
49483,1
49484,0
49485,0
49486,1
49487,0
49488,0
49489,1
49490,0
49491,0
49492,0
49493,0
49494,1
49495,0
49496,0
49497,0
49498,1
49499,0
49500,1
